"Player","League","Age","wi_star","Salary","SimpPos","PTS","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","fpcBball"
"MarJon Beauchamp","NBA",22,5.69512195121951,2485200,"F",5.1,52,11,13.5,1.8,4.7,0.395,0.9,2.7,0.331,0.9,1.9,0.485,0.5,0.7,0.73,0.7,1.5,2.2,0.7,0.4,0.1,0.9,1.4,635
"Frank Kaminsky","NBA",29,5.69512195121951,2463490,"C",2.5,36,0,6.5,0.9,1.8,0.492,0.4,0.9,0.394,0.5,0.8,0.6,0.4,0.4,0.875,0.2,1.3,1.4,0.9,0.2,0.1,0.3,0.6,635
"Bryn Forbes","NBA",29,5.69512195121951,2298385,"G",3.6,25,0,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,1.5,0.432,0.6,0.6,1,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,635
"Saben Lee","NBA",23,5.69512195121951,2266640,"G",6,25,1,14.9,2,4.8,0.405,0.4,1.2,0.367,1.5,3.6,0.418,1.7,2.3,0.737,0.5,1.3,1.8,2.7,0.8,0,1,1.3,635
"Andrew Nembhard","NBA",23,5.69512195121951,2244111,"G",9.5,75,63,27.6,3.8,8.6,0.441,1.2,3.5,0.35,2.6,5.1,0.504,0.7,0.8,0.79,0.5,2.2,2.7,4.5,0.9,0.2,1.7,2.4,635
"Payton Pritchard","NBA",25,5.69512195121951,2239200,"G",5.6,48,3,13.4,2.1,5.1,0.412,1.2,3.2,0.364,0.9,1.9,0.495,0.3,0.3,0.75,0.5,1.3,1.8,1.3,0.3,0,0.8,0.8,635
"Malachi Flynn","NBA",24,5.69512195121951,2145720,"G",4.6,53,2,13,1.6,4.6,0.36,0.9,2.5,0.353,0.8,2.1,0.367,0.5,0.6,0.758,0.3,1.2,1.4,1.3,0.4,0.1,0.5,1.2,635
"Luke Kornet","NBA",27,5.69512195121951,2133278,"C",3.8,69,0,11.7,1.6,2.5,0.665,0,0.2,0.231,1.6,2.3,0.701,0.5,0.6,0.821,1.2,1.6,2.9,0.8,0.2,0.7,0.4,1.2,635
"Tony Bradley","NBA",25,5.69512195121951,2036318,"C",1.6,12,0,2.8,0.5,1,0.5,0.3,0.4,0.6,0.3,0.6,0.429,0.3,0.3,1,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,635
"Caleb Houstan","NBA",20,5.69512195121951,2e+06,"F",3.8,51,4,15.9,1.3,3.6,0.363,0.9,2.7,0.338,0.4,0.9,0.435,0.3,0.4,0.833,0.7,1.3,1.9,0.6,0.2,0.1,0.4,1.2,635
"Dean Wade","NBA",26,5.69512195121951,1930681,"F",4.7,44,13,20.3,1.7,4,0.412,1,2.9,0.354,0.6,1.1,0.56,0.3,0.5,0.652,0.5,3,3.4,0.8,0.6,0.5,0.4,2,635
"Davon Reed","NBA",27,5.69512195121951,1902133,"G",2.1,43,1,8,0.7,2,0.333,0.4,1.1,0.37,0.3,0.9,0.289,0.4,0.6,0.667,0.2,1.1,1.4,0.5,0.3,0.1,0.5,0.9,635
"Thanasis Antetokounmpo","NBA",30,5.69512195121951,1878720,"F",1.4,37,0,5.6,0.5,1.2,0.435,0,0.2,0,0.5,1,0.526,0.3,0.6,0.5,0.4,0.8,1.2,0.4,0.1,0.1,0.3,0.6,635
"Justin Jackson","NBA",27,5.69512195121951,1836090,"F",0.9,23,0,4.7,0.3,1.2,0.259,0.2,0.9,0.25,0.1,0.3,0.286,0,0.1,0.5,0.1,0.7,0.7,0.4,0.2,0.2,0.1,0.3,635
"Ryan Arcidiacono","NBA",28,5.69512195121951,1836090,"G",1.3,20,4,8.6,0.5,1.9,0.243,0.4,1.2,0.348,0.1,0.7,0.071,0,0,NA,0,0.8,0.8,1.2,0.3,0,0.4,0.9,635
"Isaiah Todd","NBA",21,5.69512195121951,1575000,"F",1.5,6,1,10.2,0.5,3.2,0.158,0.2,1.7,0.1,0.3,1.5,0.222,0.3,0.3,1,0.3,1.7,2,0.7,0.2,0,0.3,0.7,635
"JT Thor","NBA",20,5.69512195121951,1563518,"F",3.8,69,8,14,1.4,3.4,0.399,0.6,1.8,0.317,0.8,1.7,0.487,0.5,0.7,0.702,0.5,1.7,2.2,0.5,0.3,0.3,0.6,1,635
"Jock Landale","NBA",27,5.69512195121951,1563518,"C",6.6,69,4,14.2,2.6,4.9,0.528,0.3,1.2,0.25,2.3,3.7,0.621,1.1,1.5,0.752,1.7,2.3,4.1,1,0.2,0.4,0.9,1.8,635
"Bryce McGowens","NBA",20,5.69512195121951,1461055,"G",5.3,46,7,17.1,1.7,4.4,0.396,0.6,1.7,0.325,1.2,2.7,0.443,1.3,1.7,0.75,0.4,1.6,2,1.2,0.3,0.1,0.9,1,635
"Noah Vonleh","NBA",27,5.69512195121951,1160955,"C",1.1,23,1,7.4,0.5,1,0.458,0,0.2,0.25,0.4,0.9,0.5,0.1,0.1,1,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,635
