"Player","Salary","SimpPos","Position","Age","TeamAbb","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","League"
"Peyton Watson",2193960,"G","SG",20,"DEN",23,2,8.1,1.3,2.6,0.492,0.3,0.6,0.429,1,2,0.511,0.5,0.9,0.55,0.3,1.3,1.6,0.5,0.1,0.5,0.3,0.6,3.3,"NBA"
"Udoka Azubuike",2174880,"C","C",23,"UTA",36,4,10,1.6,2,0.819,0,0,NA,1.6,2,0.819,0.2,0.6,0.35,0.9,2.4,3.3,0.3,0.2,0.4,0.5,0.9,3.5,"NBA"
"Jaden McDaniels",2161440,"F","SF",22,"MIN",79,79,30.6,4.7,9.1,0.517,1.4,3.4,0.398,3.3,5.7,0.588,1.3,1.8,0.736,1.2,2.7,3.9,1.9,0.9,1,1.4,3.4,12.1,"NBA"
"Jordan McLaughlin",2160000,"G","PG",26,"MIN",43,0,15.8,1.4,3.4,0.421,0.6,1.8,0.308,0.9,1.6,0.552,0.3,0.4,0.833,0.3,1.1,1.4,3.4,0.7,0.1,0.8,0.7,3.7,"NBA"
"Malachi Flynn",2145720,"G","PG",24,"TOR",53,2,13,1.6,4.6,0.36,0.9,2.5,0.353,0.8,2.1,0.367,0.5,0.6,0.758,0.3,1.2,1.4,1.3,0.4,0.1,0.5,1.2,4.6,"NBA"
"Cam Thomas",2138160,"G","SG",21,"BRK",57,4,16.6,3.5,8,0.441,0.9,2.3,0.383,2.6,5.7,0.464,2.6,3.1,0.868,0.1,1.5,1.7,1.4,0.4,0.1,1.1,1,10.6,"NBA"
"Luke Kornet",2133278,"C","C",27,"BOS",69,0,11.7,1.6,2.5,0.665,0,0.2,0.231,1.6,2.3,0.701,0.5,0.6,0.821,1.2,1.6,2.9,0.8,0.2,0.7,0.4,1.2,3.8,"NBA"
"Damion Lee",2133278,"G","SG",30,"PHO",74,5,20.4,2.7,6.1,0.442,1.5,3.3,0.445,1.2,2.8,0.439,1.3,1.4,0.904,0.5,2.5,3,1.3,0.4,0.1,1.1,1.6,8.2,"NBA"
"Juan Toscano-Anderson",2133278,"F","SF",29,"LAL/UTA",52,9,13.5,1.2,2.8,0.448,0.2,0.8,0.186,1.1,1.9,0.56,0.4,0.5,0.792,0.5,1.8,2.4,1.3,0.3,0.2,0.7,1.5,3,"NBA"
"Desmond Bane",2130240,"G","SG",24,"MEM",58,58,31.7,7.8,16.2,0.479,2.9,7,0.408,4.9,9.2,0.534,3.1,3.5,0.883,0.7,4.3,5,4.4,1,0.4,2.2,2.6,21.5,"NBA"
"Jaden Springer",2125200,"G","SG",20,"PHI",16,2,5.6,1.1,2.2,0.486,0.1,0.3,0.4,0.9,1.9,0.5,0.4,0.5,0.75,0.4,0.5,0.9,0.5,0.4,0.2,0.2,0.9,2.6,"NBA"
