PLAYER,2022 SALARY,2022 SIGNING,G,GS,MIN,PTS,FGM,FGA,FG%,2:00 PM,2PA,2P%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Courtney Vandersloot,"$195,000",UFA,32,32,26.5,11.8,4.3,8.8,48.10%,3.3,6.4,52.50%,0.9,2.5,36.70%,2.3,3.1,76.50%,0.7,3.2,3.9,6.5,2.7,1.2,0.5,1.7
Allie Quigley,"$135,000",UFA,34,34,26.3,11.4,3.8,8.9,42.80%,2.4,4.8,49.10%,1.5,4.1,35.50%,2.2,2.4,95.00%,0.5,2,2.5,2.9,1.3,0.7,0.2,1.5
Satou Sabally,"$76,297",--,11,6,21.7,11.3,3.7,9.4,39.80%,2.8,5.5,51.70%,0.9,3.9,23.30%,2.9,3.2,91.40%,0.8,4,4.8,2.1,2.3,0.5,0.2,3.2
Betnijah Laney-Hamilton,"$196,267",UFA,9,6,28.3,11.2,4.2,10,42.20%,3,6.8,44.30%,1.2,3.2,37.90%,1.6,1.8,87.50%,0.1,3.2,3.3,2.8,2.7,0.4,0.1,2.7
Courtney Williams,"$103,000",UFA,34,34,28,11.1,4.9,11.4,42.60%,4.2,9.5,44.40%,0.6,1.9,33.80%,0.8,1.1,75.00%,0.9,3.7,4.6,3.3,1.7,1,0.4,1.6
Aari McDonald,"$71,441",Rookie,36,6,24.3,11.1,3.6,8.9,41.10%,2.3,4.9,46.90%,1.3,3.9,33.80%,2.4,2.8,87.10%,0.4,1.8,2.3,2.6,2.2,1.5,0,2.2
Teaira McCowan,"$72,141",--,33,15,18.9,11,4.2,7,60.20%,4.2,7,60.20%,0,0,--,2.5,4.2,60.00%,3,4.1,7,0.8,1.7,0.3,0.7,3.1
Maya Caldwell,"$4,490",Hardship,9,7,23.7,10.9,4.2,8.2,51.40%,2.2,4.7,47.60%,2,3.6,56.30%,0.4,0.6,80.00%,0.6,1.9,2.4,2.2,1.6,0.8,0.2,1.7
Maya Caldwell,"$3,143",Hardship,9,7,23.7,10.9,4.2,8.2,51.40%,2.2,4.7,47.60%,2,3.6,56.30%,0.4,0.6,80.00%,0.6,1.9,2.4,2.2,1.6,0.8,0.2,1.7
Maya Caldwell,"$1,796",Hardship,9,7,23.7,10.9,4.2,8.2,51.40%,2.2,4.7,47.60%,2,3.6,56.30%,0.4,0.6,80.00%,0.6,1.9,2.4,2.2,1.6,0.8,0.2,1.7
Natasha Cloud,"$185,000",SuspCE,34,34,31.3,10.7,3.6,9.1,39.90%,2.4,5.1,46.20%,1.3,4,31.90%,2.2,2.7,82.40%,0.5,3.1,3.6,7,2.8,1,0.3,1.6
Azurá Stevens,"$140,000",--,35,8,21.9,10.6,4.3,9.1,47.20%,3.1,5.8,53.50%,1.2,3.3,36.20%,0.8,1.1,74.40%,0.6,3.3,3.9,0.8,0.7,0.5,1.1,1.7
Moriah Jefferson,"$170,953",--,31,30,26.1,10.4,3.8,8.4,45.20%,2.6,5.9,44.30%,1.2,2.5,47.40%,1.7,2.1,81.50%,0.4,2.1,2.4,4.7,2.2,1.2,0.1,2.2
Moriah Jefferson,"$67,141",UFA,31,30,26.1,10.4,3.8,8.4,45.20%,2.6,5.9,44.30%,1.2,2.5,47.40%,1.7,2.1,81.50%,0.4,2.1,2.4,4.7,2.2,1.2,0.1,2.2
Marine Johannes,"$40,713",ROS,24,10,25.5,10,3.5,7.5,46.40%,1.2,2.2,52.80%,2.3,5.3,43.70%,0.8,1,87.00%,0.2,1.5,1.7,3.4,1.8,0.6,0.1,1.6
Shey Peddy,"$72,141",Reserved,34,24,28.7,9.9,3.4,8.2,41.80%,2,3.9,51.50%,1.4,4.3,32.90%,1.6,1.9,88.90%,1.3,2.4,3.8,3.4,1.4,1.6,0.2,1.8
Victoria Vivians,"$72,141",Reserved,35,30,26.9,9.8,3.6,10.7,33.60%,2.3,6.2,37.60%,1.3,4.5,28.00%,1.3,1.8,74.20%,0.7,2.9,3.6,2.4,2.1,1.1,0.3,2.4
