"Player","Salary","SimpPos","Position","Age","TeamAbb","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","League","ORACLE1","ORACLE2","SRS_0","SRS_MCAR","SRS_MAR"
"Nassir Little",4171548,"F","SF",22,"POR",54,4,18.1,2.5,5.6,0.442,1.1,2.9,0.367,1.4,2.7,0.524,0.6,0.9,0.717,0.5,2.1,2.6,0.9,0.4,0.4,0.7,1.2,6.6,"NBA",0,1,1,1,1
"Justise Winslow",4097561,"F","PF",26,"POR",29,11,26.8,2.8,6.8,0.409,0.5,1.6,0.311,2.3,5.3,0.438,0.7,1,0.714,1.7,3.3,5,3.4,1,0.4,1.5,3.1,6.8,"NBA",1,1,1,1,1
"Ochai Agbaji",3918360,"G","SG",22,"UTA",59,22,20.5,2.8,6.5,0.427,1.4,3.9,0.355,1.4,2.7,0.532,0.9,1.2,0.812,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9,"NBA",1,1,1,1,NA
"Mark Williams",3722040,"C","C",21,"CHO",43,17,19.3,3.7,5.8,0.637,0,0,NA,3.7,5.8,0.637,1.6,2.3,0.691,2.2,4.9,7.1,0.4,0.7,1,0.9,2.2,9,"NBA",1,1,1,1,1
"Cole Anthony",3613680,"G","PG",22,"ORL",60,4,25.9,4.6,10.2,0.454,1.3,3.4,0.364,3.4,6.7,0.5,2.5,2.8,0.894,0.8,4,4.8,3.9,0.6,0.5,1.5,2.6,13,"NBA",1,1,1,1,1
"Isaiah Stewart",3433320,"C","C",21,"DET",50,47,28.3,3.9,8.8,0.442,1.3,4.1,0.327,2.6,4.7,0.542,2.2,3,0.738,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,11.3,"NBA",1,1,1,1,1
"Sterling Brown",3122602,"F","SF",27,"LAL",4,0,6,0,1,0,0,0.5,0,0,0.5,0,0,0,NA,0.8,1.3,2,0.5,0.8,0,0,1,0,"NBA",1,1,1,1,1
"Josh Green",3098400,"G","SG",22,"DAL",60,21,25.7,3.4,6.4,0.537,1.1,2.8,0.402,2.3,3.6,0.643,1.1,1.6,0.723,0.9,2.1,3,1.7,0.7,0.1,1.2,2.6,9.1,"NBA",1,1,1,1,1
"Jake LaRavia",3047640,"F","PF",21,"MEM",35,0,11.8,1.1,2.7,0.389,0.7,2,0.338,0.4,0.7,0.542,0.2,0.3,0.778,0.5,1.3,1.8,0.6,0.3,0.1,0.5,1.4,3,"NBA",1,1,1,NA,1
"Robin Lopez",2905851,"C","C",34,"CLE",37,2,8.1,1.3,2,0.64,0.1,0.1,0.5,1.2,1.9,0.648,0.4,0.5,0.778,0.6,0.8,1.4,0.5,0.1,0.2,0.7,1.2,3,"NBA",0,1,1,1,1
"Udonis Haslem",2905851,"C","C",42,"MIA",7,1,10.1,1.4,4.1,0.345,0.4,1.3,0.333,1,2.9,0.35,0.6,0.7,0.8,0.6,1,1.6,0,0.1,0.3,0.1,1.6,3.9,"NBA",1,1,1,NA,NA
"Wesley Matthews",2905851,"F","SF",36,"MIL",52,0,15.8,1.1,3.1,0.363,0.8,2.4,0.315,0.4,0.7,0.528,0.5,0.5,0.857,0.7,1.5,2.2,0.7,0.4,0.3,0.3,1.4,3.4,"NBA",1,1,1,1,NA
"Bismack Biyombo",2905851,"C","C",30,"PHO",61,14,14.3,2,3.4,0.578,0,0,NA,2,3.4,0.578,0.4,1.1,0.357,1.5,2.8,4.3,0.9,0.3,1.4,0.8,1.9,4.3,"NBA",1,1,1,1,1
"Jalen Johnson",2792640,"F","SF",21,"ATL",70,6,14.9,2.3,4.6,0.491,0.4,1.5,0.288,1.8,3.1,0.587,0.7,1.1,0.628,0.7,3.3,4,1.2,0.5,0.5,0.6,1.6,5.6,"NBA",1,1,1,1,1
"Matthew Dellavedova",2628597,"G","PG",32,"SAC",32,0,6.7,0.5,1.6,0.34,0.3,0.8,0.333,0.3,0.7,0.348,0.1,0.2,0.571,0,0.4,0.4,1.3,0.2,0,0.3,0.6,1.5,"NBA",1,1,1,1,1
"MarJon Beauchamp",2485200,"F","SF",22,"MIL",52,11,13.5,1.8,4.7,0.395,0.9,2.7,0.331,0.9,1.9,0.485,0.5,0.7,0.73,0.7,1.5,2.2,0.7,0.4,0.1,0.9,1.4,5.1,"NBA",0,1,1,1,1
"Frank Kaminsky",2463490,"C","C",29,"HOU/ATL",36,0,6.5,0.9,1.8,0.492,0.4,0.9,0.394,0.5,0.8,0.6,0.4,0.4,0.875,0.2,1.3,1.4,0.9,0.2,0.1,0.3,0.6,2.5,"NBA",1,1,1,1,1
"John Konchar",2300000,"F","SF",26,"MEM",72,23,20.8,1.9,4.4,0.431,0.8,2.5,0.339,1.1,2,0.545,0.4,0.5,0.778,0.9,3.4,4.3,1.4,1.1,0.3,0.5,1.6,5.1,"NBA",0,1,1,1,NA
