"JWTR","transport_type","avg_time","med_time","min_time","max_time","q25_time","q75_time","n","n_missing","state","state_n","prop","state_name"
7,"Taxicab",19.7106382978723,15,2,154,10,20,235,0,"ga",204011,0.00115189867213042,"Georgia"
8,"Motorcycle",22.9953596287703,20,1,160,10,30,431,0,"ga",204011,0.00211263118165197,"Georgia"
9,"Bicycle",19.5256124721604,15,1,154,10,20,449,0,"ga",204011,0.00220086171824068,"Georgia"
10,"Walked",11.3951233842538,5,1,193,3,15,3404,0,"ga",204011,0.0166853748082211,"Georgia"
11,"Worked at home",NA,NA,NA,NA,NA,NA,10009,10009,"ga",204011,0.0490610800398018,"Georgia"
12,"Other method",38.1127551020408,20,1,193,10,45,1960,0,"ga",204011,0.00960732509521545,"Georgia"
1,"Car, truck, or van",25.2315813372687,20,1,148,13,30,26427,0,"hi",32351,0.816883558468053,"Hawaii"
2,"Bus or trolley bus",46.4199573105656,40,1,148,30,60,1874,0,"hi",32351,0.0579271119903558,"Hawaii"
3,"Streetcar or trolley car",20,20,10,30,10,30,4,0,"hi",32351,0.000123643782263299,"Hawaii"
4,"Subway or elevated",36.6666666666667,42,5,45,41,44,6,0,"hi",32351,0.000185465673394949,"Hawaii"
5,"Railroad",60,60,60,60,60,60,1,0,"hi",32351,3.09109455658249e-05,"Hawaii"
6,"Ferryboat",46.4166666666667,44,10,114,27.5,60,24,0,"hi",32351,0.000741862693579797,"Hawaii"
7,"Taxicab",22.4761904761905,15,1,139,10,20,21,0,"hi",32351,0.000649129856882322,"Hawaii"
8,"Motorcycle",21.8347107438017,15,1,146,10,30,242,0,"hi",32351,0.00748044882692962,"Hawaii"
9,"Bicycle",15.4625850340136,15,2,75,10,20,294,0,"hi",32351,0.00908781799635251,"Hawaii"
10,"Walked",12.1463917525773,10,1,148,5,15,1455,0,"hi",32351,0.0449754257982752,"Hawaii"
11,"Worked at home",NA,NA,NA,NA,NA,NA,1610,1610,"hi",32351,0.049766622360978,"Hawaii"
12,"Other method",28.8117048346056,20,1,148,10,30,393,0,"hi",32351,0.0121480016073692,"Hawaii"
1,"Car, truck, or van",20.6993475274725,15,1,188,10,25,29120,0,"id",33210,0.876844323998796,"Idaho"
2,"Bus or trolley bus",59.3690036900369,60,1,188,30,80,271,0,"id",33210,0.00816019271303824,"Idaho"
3,"Streetcar or trolley car",19,19,8,30,13.5,24.5,2,0,"id",33210,6.02228244504667e-05,"Idaho"
4,"Subway or elevated",45,25,20,90,22.5,57.5,3,0,"id",33210,9.03342366757001e-05,"Idaho"
5,"Railroad",27.5,27.5,15,40,21.25,33.75,2,0,"id",33210,6.02228244504667e-05,"Idaho"
7,"Taxicab",15.8095238095238,15,7,30,10,20,21,0,"id",33210,0.000632339656729901,"Idaho"
8,"Motorcycle",17.6832298136646,15,2,100,10,20,161,0,"id",33210,0.00484793736826257,"Idaho"
9,"Bicycle",15.801775147929,12,1,80,5.25,20,338,0,"id",33210,0.0101776573321289,"Idaho"
10,"Walked",8.3348095659876,5,1,131,2,10,1129,0,"id",33210,0.0339957844022885,"Idaho"
11,"Worked at home",NA,NA,NA,NA,NA,NA,1896,1896,"id",33210,0.0570912375790425,"Idaho"
12,"Other method",36.5767790262172,20,1,188,5,35,267,0,"id",33210,0.00803974706413731,"Idaho"
1,"Car, truck, or van",26.3055540669225,20,1,185,10,35,242579,0,"il",288901,0.839661337274707,"Illinois"
2,"Bus or trolley bus",43.0609684605464,40,1,185,25,60,8529,0,"il",288901,0.029522223875999,"Illinois"
3,"Streetcar or trolley car",45.7238805970149,43,2,185,30,60,134,0,"il",288901,0.000463826708803362,"Illinois"
4,"Subway or elevated",43.3065994500458,40,1,185,30,50,6546,0,"il",288901,0.0226582808643791,"Illinois"
5,"Railroad",64.7431648715824,60,1,185,45,75,6035,0,"il",288901,0.0208895088628977,"Illinois"
6,"Ferryboat",53.7894736842105,41,15,143,25,75,19,0,"il",288901,6.57664736362976e-05,"Illinois"
7,"Taxicab",19.890306122449,15,1,151,10,20,392,0,"il",288901,0.0013568661929173,"Illinois"
8,"Motorcycle",21.4078947368421,18,1,143,10,30,456,0,"il",288901,0.00157839536727114,"Illinois"
9,"Bicycle",19.9068056407112,15,1,182,10,25,1631,0,"il",288901,0.00564553255267375,"Illinois"
10,"Walked",11.0037567504109,10,1,182,5,15,8518,0,"il",288901,0.029484148549157,"Illinois"
11,"Worked at home",NA,NA,NA,NA,NA,NA,12206,12206,"il",288901,0.0422497672212973,"Illinois"
