"","year","langcode","language","total","percent","rankinyear"
"128",1990,87,"Pima, Papago",64,7.23202330881112e-06,67
"129",1990,89,"Aztecan, Nahuatl, Uto-Aztecan",94,1.06220342348163e-05,62
"130",1990,90,"Tanoan languages",23,2.599008376604e-06,71
"131",1990,92,"Mayan languages",951,0.000107463346354365,43
"132",1990,93,"American Indian, n.s.",512,5.7856186470489e-05,49
"133",1990,96,"Other or not reported",400,4.52001456800695e-05,51
"134",2000,0,"N/A or blank",725544,0.0761818842170684,NA
"135",2000,1,"English",4036798,0.42386247814563,1
"136",2000,2,"German",30216,0.00317267018058579,14
"137",2000,3,"Yiddish, Jewish",5685,0.000596923152522843,31
"138",2000,4,"Dutch",7821,0.000821202458378391,26
"139",2000,5,"Swedish",3128,0.000328438983481346,35
"140",2000,6,"Danish",2101,0.000220604317229638,39
"141",2000,7,"Norwegian",946,9.93296925746015e-05,46
"142",2000,8,"Icelandic",96,1.00799688024966e-05,54
"143",2000,10,"Italian",20180,0.00211889344202479,19
"144",2000,11,"French",43160,0.00453178597412241,12
"145",2000,12,"Spanish",3320147,0.348614356038568,2
"146",2000,13,"Portuguese",11099,0.00116539139311363,21
"147",2000,14,"Rumanian",5631,0.000591253170071439,32
"148",2000,15,"Celtic",767,8.05347507449464e-05,47
"149",2000,16,"Greek",7905,0.000830022431080576,25
"150",2000,17,"Albanian",1181,0.000124004616205713,44
"151",2000,18,"Russian",44628,0.00468592549706058,11
"152",2000,19,"Ukrainian, Ruthenian, Little Russian",1467,0.00015403452326315,42
"153",2000,20,"Czech",1907,0.000200234380274593,41
"154",2000,21,"Polish",7024,0.000737517717382665,29
"155",2000,22,"Slovak",596,6.25798063154994e-05,48
"156",2000,23,"Serbo-Croatian, Yugoslavian, Slavonian",7467,0.000784032573419185,28
"157",2000,25,"Lithuanian",1912,0.000200759378649723,40
"158",2000,26,"Other Balto-Slavic",2149,0.000225644301630886,38
"159",2000,28,"Armenian",137614,0.0144494252790288,6
"160",2000,29,"Persian, Iranian, Farsi",68419,0.00718397276560429,8
"161",2000,31,"Hindi and related",50034,0.00525355374025117,10
"162",2000,33,"Finnish",957,0.000100484688999888,45
"163",2000,34,"Magyar, Hungarian",7678,0.000806187504849672,27
"164",2000,36,"Turkish",2824,0.00029651908227344,36
"165",2000,40,"Dravidian",5819,0.000610993108976328,30
