RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
51,DeVonta Smith,PHI,WR,16,0,0,0,0,0,81,1066,7,0,0,0,0,14.2,227.6
52,Geno Smith,SEA,QB,15,3624,20,9,155,1,1,-2,0,0,0,0,0,15.2,227.3
53,Amari Cooper,CLE,WR,15,0,0,0,0,0,72,1250,5,0,0,0,0,15.1,227.0
54,DK Metcalf,SEA,WR,16,0,0,0,0,0,66,1114,8,0,0,0,0,14.1,225.4
55,DeAndre Hopkins,TEN,WR,17,0,0,0,9,0,75,1057,7,0,0,0,0,13.2,223.6
56,Saquon Barkley,NYG,RB,14,0,0,0,962,6,41,280,4,0,0,0,0,15.9,223.2
57,Tony Pollard,DAL,RB,17,0,0,0,1005,6,55,311,0,0,0,0,0,13.1,222.6
58,Jordan Addison,MIN,WR,17,0,0,0,2,0,70,911,10,0,0,0,0,13.0,221.3
59,Travis Kelce,KC,TE,15,0,0,0,0,0,93,984,5,0,0,0,0,14.6,219.4
60,T.J. Hockenson,MIN,TE,15,0,0,0,0,0,95,960,5,0,0,0,0,14.6,219.0
61,Jakobi Meyers,LV,WR,16,12,1,0,24,2,71,807,8,0,0,0,0,13.7,218.6
62,Jayden Reed,GB,WR,16,0,0,0,119,2,64,793,8,0,0,0,0,13.6,217.2
63,Isiah Pacheco,KC,RB,14,0,0,0,935,7,44,244,2,0,0,0,0,15.3,213.9
64,Garrett Wilson,NYJ,WR,17,0,0,0,0,0,95,1042,3,0,0,0,0,12.5,213.2
65,Rashee Rice,KC,WR,16,0,0,0,-3,0,79,938,7,0,0,0,0,13.3,212.5
66,Jerome Ford,CLE,RB,17,0,0,0,813,4,44,319,5,0,0,0,0,12.4,211.2
67,Terry McLaurin,WAS,WR,17,0,0,0,0,1,79,1002,4,0,0,0,0,12.3,209.2
68,Chris Godwin,TB,WR,17,0,0,0,38,1,83,1024,2,0,0,0,0,12.3,209.2
69,George Pickens,PIT,WR,17,0,0,0,18,0,63,1140,5,0,0,0,0,12.3,208.8
70,David Montgomery,DET,RB,14,0,0,0,1015,13,16,117,0,0,0,0,0,14.8,207.2
71,Zay Flowers,BAL,WR,16,0,0,0,56,1,77,858,5,0,0,0,0,12.9,206.4
72,George Kittle,SF,TE,16,0,0,0,2,0,65,1020,6,0,0,0,0,12.7,203.2
73,Tyler Lockett,SEA,WR,17,0,0,0,0,0,79,894,5,0,0,0,0,11.9,202.4
74,Justin Jefferson,MIN,WR,10,0,0,0,-12,0,68,1074,5,0,0,0,0,20.2,202.2
75,James Conner,ARI,RB,13,0,0,0,1040,7,27,165,2,0,0,0,0,15.5,201.5
76,David Njoku,CLE,TE,16,0,0,0,0,0,81,882,6,0,0,0,0,12.6,201.2
77,T.J. Watt,PIT,LB,17,0,0,0,0,0,0,0,0,19,1,4,3,11.8,201.2
78,Joshua Dobbs,MIN,QB,13,2464,13,10,421,6,0,0,0,0,0,0,0,15.4,200.7
79,Kenneth Walker III,SEA,RB,15,0,0,0,905,8,29,259,1,0,0,0,0,13.3,199.4
80,D'Andre Swift,PHI,RB,16,0,0,0,1049,5,39,214,1,0,0,0,0,12.5,199.3
81,Jaylen Waddle,MIA,WR,14,0,0,0,12,0,72,1014,4,0,0,0,0,14.2,198.6
82,Brian Robinson Jr.,WAS,RB,15,0,0,0,733,5,36,368,4,0,0,0,0,13.2,198.1
83,Jaylen Warren,PIT,RB,17,0,0,0,784,4,61,370,0,0,0,0,0,11.6,196.4
84,Gardner Minshew II,IND,QB,16,3305,15,9,100,3,0,0,0,0,0,0,0,12.3,196.2
85,Najee Harris,PIT,RB,17,0,0,0,1035,8,29,170,0,0,0,0,0,11.5,195.5
86,De'Von Achane,MIA,RB,11,0,0,0,800,8,27,197,3,0,0,0,0,17.3,190.7
87,Foyesade Oluokun,JAX,LB,17,0,0,0,0,0,0,0,0,3,1,1,2,11.2,190.3
88,Courtland Sutton,DEN,WR,16,0,0,0,0,0,59,772,10,0,0,0,0,11.9,190.2
89,Gus Edwards,BAL,RB,17,0,0,0,810,13,12,180,0,0,0,0,0,11.0,187.0
90,Austin Ekeler,LAC,RB,14,0,0,0,628,5,51,436,1,0,0,0,0,13.2,185.4
91,Khalil Mack,LAC,OLB,17,0,0,0,0,0,0,0,0,17,0,6,0,10.8,183.9
92,Antoine Winfield Jr.,TB,S,17,0,0,0,0,0,0,0,0,6,3,6,4,10.8,182.8
93,Chuba Hubbard,CAR,RB,17,0,0,0,902,5,39,233,0,0,0,0,0,10.7,182.5
94,Trey McBride,ARI,TE,17,0,0,0,0,0,81,825,3,0,0,0,0,10.7,181.5
95,Cole Kmet,CHI,TE,17,0,0,0,2,0,73,719,6,0,0,0,0,10.7,181.1
96,Josh Jacobs,LV,RB,13,0,0,0,805,6,37,296,0,0,0,0,0,13.9,181.1
97,Javonte Williams,DEN,RB,16,0,0,0,774,3,47,228,2,0,0,0,0,11.2,179.2
98,Desmond Ridder,ATL,QB,15,2836,12,12,193,5,1,-6,0,0,0,0,0,11.8,177.1
99,Jake Ferguson,DAL,TE,17,0,0,0,0,0,71,761,5,0,0,0,0,10.4,177.1
100,Brandon Aubrey,DAL,K,17,0,0,0,0,0,0,0,0,0,0,0,0,10.4,177.0
